"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value"
112201;Vepøová peèenì s kostí; Kè / 1 kg;2007;2008;1;0.39;%;103.36;103.76
111301;Chléb konzumní kmínový; Kè / 1 kg;2007;2008;1;33.53;%;17.27;23.06
112704;Šunkový salám; Kè / 1 kg;2007;2008;1;0.25;%;117.14;117.43
116101;Pomeranèe; Kè / 1 kg;2007;2008;3;-6.34;%;37.83;35.43
117401;Konzumní brambory; Kè / 1 kg;2007;2008;4;-5.02;%;9.57;9.09
114501;Eidamská cihla; Kè / 1 kg;2007;2008;3;6.29;%;119.97;127.52
116104;Jablka konzumní; Kè / 1 kg;2007;2008;3;10.23;%;33.53;36.96
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2007;2008;4;4.8;%;7.71;8.08
115101;Máslo; Kè / 1 kg;2007;2008;3;0.22;%;111.43;111.67
117103;Papriky; Kè / 1 kg;2007;2008;3;-12.34;%;53.55;46.94
114201;Mléko polotuèné pasterované; Kè / 1 l;2007;2008;4;0.69;%;17.46;17.58
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2007;2008;4;4.17;%;170.07;177.16
111201;Pšenièná mouka hladká; Kè / 1 kg;2007;2008;4;18.91;%;10.68;12.7
112401;Kuøata kuchaná celá; Kè / 1 kg;2007;2008;4;-2.58;%;61.23;59.65
111303;Peèivo pšenièné bílé; Kè / 1 kg;2007;2008;4;6.9;%;49.72;53.15
116101;Pomeranèe; Kè / 1 kg;2007;2008;2;16.57;%;28.54;33.27
117401;Konzumní brambory; Kè / 1 kg;2007;2008;3;-12.93;%;11.99;10.44
114501;Eidamská cihla; Kè / 1 kg;2007;2008;2;22.35;%;111.24;136.1
116104;Jablka konzumní; Kè / 1 kg;2007;2008;2;32.87;%;27.56;36.62
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2007;2008;3;5.84;%;7.87;8.33
115101;Máslo; Kè / 1 kg;2007;2008;2;9.76;%;103.61;113.72
117103;Papriky; Kè / 1 kg;2007;2008;2;-5.34;%;80.34;76.05
114201;Mléko polotuèné pasterované; Kè / 1 l;2007;2008;3;15.1;%;15.43;17.76
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2007;2008;3;3.76;%;169.76;176.15
111201;Pšenièná mouka hladká; Kè / 1 kg;2007;2008;3;53.72;%;8.88;13.65
112401;Kuøata kuchaná celá; Kè / 1 kg;2007;2008;3;3.32;%;58.35;60.29
111303;Peèivo pšenièné bílé; Kè / 1 kg;2007;2008;3;27.8;%;42.12;53.83
117106;Mrkev; Kè / 1 kg;2008;2009;2;17.0;%;20.82;24.36
114401;Jogurt bílý netuèný; Kè / 150 g;2008;2009;1;1.44;%;6.24;6.33
116103;Banány žluté; Kè / 1 kg;2008;2009;1;-0.73;%;34.35;34.1
118101;Cukr krystalový; Kè / 1 kg;2008;2009;2;-8.18;%;21.27;19.53
114701;Vejce slepièí èerstvá; Kè / 10 ks;2008;2009;1;-13.27;%;30.66;26.59
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2008;2009;1;4.06;%;39.7;41.31
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2008;2009;2;3.03;%;8.92;9.19
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2008;2009;1;12.88;%;78.09;88.15
111602;Tìstoviny vajeèné; Kè / 1 kg;2008;2009;2;1.32;%;31.0;31.41
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2008;2009;2;17.46;%;30.98;36.39
112201;Vepøová peèenì s kostí; Kè / 1 kg;2008;2009;2;0.32;%;105.33;105.67
111301;Chléb konzumní kmínový; Kè / 1 kg;2008;2009;2;-13.96;%;23.0;19.79
112704;Šunkový salám; Kè / 1 kg;2008;2009;2;-0.16;%;119.41;119.22
117106;Mrkev; Kè / 1 kg;2008;2009;1;10.6;%;14.9;16.48
116101;Pomeranèe; Kè / 1 kg;2008;2009;4;7.12;%;27.94;29.93
114501;Eidamská cihla; Kè / 1 kg;2008;2009;4;-11.55;%;124.36;110.0
118101;Cukr krystalový; Kè / 1 kg;2008;2009;1;-5.75;%;21.73;20.48
116104;Jablka konzumní; Kè / 1 kg;2008;2009;4;-13.18;%;25.65;22.27
115101;Máslo; Kè / 1 kg;2008;2009;4;-2.4;%;108.46;105.86
117103;Papriky; Kè / 1 kg;2008;2009;4;-19.49;%;50.64;40.77
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2008;2009;1;2.81;%;8.91;9.16
111602;Tìstoviny vajeèné; Kè / 1 kg;2008;2009;1;3.35;%;30.18;31.19
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2008;2009;1;36.43;%;27.31;37.26
112201;Vepøová peèenì s kostí; Kè / 1 kg;2008;2009;1;3.82;%;103.76;107.72
111301;Chléb konzumní kmínový; Kè / 1 kg;2008;2009;1;-7.29;%;23.06;21.38
112704;Šunkový salám; Kè / 1 kg;2008;2009;1;1.59;%;117.43;119.3
116101;Pomeranèe; Kè / 1 kg;2008;2009;3;-16.03;%;35.43;29.75
117401;Konzumní brambory; Kè / 1 kg;2008;2009;4;-1.65;%;9.09;8.94
114501;Eidamská cihla; Kè / 1 kg;2008;2009;3;-15.94;%;127.52;107.19
116104;Jablka konzumní; Kè / 1 kg;2008;2009;3;-26.14;%;36.96;27.3
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2008;2009;4;0.37;%;8.08;8.11
115101;Máslo; Kè / 1 kg;2008;2009;3;-16.98;%;111.67;92.71
117103;Papriky; Kè / 1 kg;2008;2009;3;-18.39;%;46.94;38.31
