"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"average_wages_growth";"average_wages_value_prev";"average_wages_value"
2013;2014;1;pøepoètenı;200;Tìba a dobıvání;2.70;28824;29603
2013;2014;4;pøepoètenı;200;Ubytování, stravování a pohostinství;1.43;14228;14431
2013;2014;4;pøepoètenı;200;Penìnictví a pojišovnictví;1.55;46262;46979
2013;2014;3;pøepoètenı;200;Vzdìlávání;0.41;24635;24736
2013;2014;3;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";2.26;22724;23237
2013;2014;2;pøepoètenı;200;Informaèní a komunikaèní èinnosti;3.75;45122;46813
2013;2014;1;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;2.33;42016;42997
2013;2014;1;pøepoètenı;200;Zdravotní a sociální péèe;1.85;24110;24557
2013;2014;1;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";2.72;25470;26163
2013;2014;4;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;1.17;34219;34621
2013;2014;4;pøepoètenı;200;Tìba a dobıvání;-4.71;37157;35406
2013;2014;3;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";2.89;23011;23676
2013;2014;3;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;3.86;20015;20788
2013;2014;2;pøepoètenı;200;Administrativní a podpùrné èinnosti;3.36;16658;17218
2013;2014;2;pøepoètenı;200;Zpracovatelskı prùmysl;3.37;24985;25826
2013;2014;2;pøepoètenı;200;Èinnosti v oblasti nemovitostí;2.59;22277;22853
2013;2014;2;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;3.13;19753;20371
2013;2014;1;pøepoètenı;200;Stavebnictví;3.62;20778;21530
2013;2014;1;pøepoètenı;200;Ostatní èinnosti;3.48;19140;19806
2013;2014;1;pøepoètenı;200;Doprava a skladování;3.02;22506;23185
2013;2014;4;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;0.69;43321;43622
2013;2014;4;pøepoètenı;200;Zdravotní a sociální péèe;4.10;26244;27319
2013;2014;4;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";4.82;28448;29818
2013;2014;3;pøepoètenı;200;Ubytování, stravování a pohostinství;1.09;13799;13950
2013;2014;3;pøepoètenı;200;Penìnictví a pojišovnictví;1.18;44530;45054
2013;2014;2;pøepoètenı;200;Vzdìlávání;1.34;24135;24459
